verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Coragyps atratus,"Coragyps atratus (Bechstein, 1793)",2481942,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,Coragyps atratus,Coragyps atratus,"(Bechstein, 1793)",2481942
Cornu aspersum,"Cornu aspersum (O.F.Müller, 1774)",5858758,EXACT,99,ACCEPTED,SPECIES,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum,Cornu aspersum,"(O.F.Müller, 1774)",5858758
Lepidium didymum,Lepidium didymum (L.) Sm.,5377061,EXACT,98,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium didymum,Lepidium didymum,(L.) Sm.,5377061
Cranioleuca pallida,"Cranioleuca pallida (Wied-Neuwied, 1831)",2485325,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca pallida,Cranioleuca pallida,"(Wied-Neuwied, 1831)",2485325
Youngia japonica,Youngia japonica (L.) Wallr.,5403304,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Youngia japonica,Youngia japonica,(L.) Wallr.,5403304
Crocidura russula,"Crocidura russula (Hermann, 1780)",2435654,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura russula,Crocidura russula,"(Hermann, 1780)",2435654
Crotophaga ani,"Crotophaga ani Linnaeus, 1758",2496209,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,Crotophaga ani,"Linnaeus, 1758",2496209
Cubaris murina,"Cubaris murina Brandt, 1833",5175817,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidae,Cubaris,Cubaris murina,Cubaris murina,"Brandt, 1833",5175817
Cucumis anguria,Cucumis anguria L.,2874573,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis anguria,Cucumis anguria,L.,2874573
Culicidae,Culicidae,3346,HIGHERRANK,94,ACCEPTED,FAMILY,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,Culicidae,,3346
